type,sitecode,city,address1,address2,city,state,zipcode,telephone,fax,lat,lng,region_lat,region_lng,officename,servicing_states,,,region,_name,efile_fax,field_offices
RO,X26,Chicago,5th Floor,600 West Madison Street,Chicago,IL,60661,(877) 800-7576,8336310147,41.881821,-87.643173,43.224926,-88.231201,"SSA, OHO","Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin",,,5,Region 5,,
HO,T1P,Akron,Suite 400,121 South Main Street,Akron,OH,44308-1426,(866) 708-3209,8336760109,41.0818216,-81.5181387,,,"SSA, OHO",,,,5,Region 5,(877) 482-0825,"OHIO: Akron (Downtown), Akron (West), Canton, Medina, New Philadelphia, Ravenna, Warren, Wooster, Youngstown"
HO,Y26,Chicago,"Citadel Building, 19th Floor",131 S. Dearborn,Chicago,IL,60603,(866) 964-1719,8336190566,41.879979,-87.634173,,,"SSA, OHO",,,,5,Region 5,(877) 670-6914,"ILLINOIS: Chicago (Back of the Yards), Chicago (East), Chicago (Lawndale), Chicago (Loop), Chicago (Near Northwest/West Town), Chicago (Near Southwest), Chicago (South), Chicago (Southeast), Chicago (West)"
NHC,T0Q,Chicago,6th Floor,600 West Madison Street,Chicago,IL,60661-2406,(877) 768-5681,8337960383,41.88287,-87.64355,,,"SSA, OHO, NHC",,,,5,Region 5,(877) 310-0642,NHCs are not open to the public.
HO,Y27,Cincinnati,"John W. Peck Federal Building, Suite 4-510",550 Main Street,Cincinnati,OH,45202,(877) 405-7672,8336190569,39.0986514,-84.515554,,,"SSA, OHO",,,,5,Region 5,(877) 904-5488,"INDIANA: Madison; KENTUCKY: Florence and OHIO: Batavia, Cincinnati (Downtown), Cincinnati (North), Hamilton"
HO,X85,Cleveland,"Skylight Office Tower, Suite 500",1660 West Second Street,Cleveland,OH,44113,(877) 402-0822,8336940061,41.500607,-81.682041,,,"SSA,",,,,5,Region 5,(877) 904-5539,"OHIO: Ashtabula, Cleveland (Buckeye Shaker), Cleveland (Downtown), Cleveland (East), Cleveland (Northeast), Cleveland (Northwest), Cleveland (Southeast), Cleveland (Southwest), Cleveland (West), Lorain, Painesville"
HO,X09,Columbus,Suite 400,401 N. Front Street,Columbus,OH,43215,(888) 397-6870,8335590768,39.969749,-83.00464,,,"SSA, OHO",,,,5,Region 5,(877) 486-2935,"OHIO: Chillicothe, Columbus (Downtown), Columbus (East), Columbus (North), Columbus (West), Lancaster, Mansfield, Marion, Newark, Zanesville"
HO,Y31,Dayton,"Courthouse Plaza SW, Suite 300",10 N. Ludlow Street,Dayton,OH,45402,(888) 450-4590,8336350630,39.7602273,-84.1938448,,,"SSA, OHO",,,,5,Region 5,(877) 486-2939,"OHIO: Dayton, Dayton (West), Middletown, Piqua, Springfield, Xenia"
HO,T17,Detroit,Patrick V. McNamara Federal Building,"477 Michigan Avenue, Room 900",Detroit,MI,48226,(888) 748-7696,8339422185,42.331072,-83.0530689,,,"SSA, OHO",,,,5,Region 5,(877) 559-1737,"MICHIGAN: Dearborn, Detroit (Connor), Detroit (Downtown), Detroit (East), Detroit (Grand River), Detroit (Southwest), Fort Gratiot, Wyandotte"
HO,Y30,Evanston,Northwestern University Research Park,"1033 University Place, Suite 200",Evanston,IL,60201,(866) 336-6051,8336190758,42.051097,-87.68609,,,"SSA, OHO",,,,5,Region 5,(877) 670-6920,"ILLINOIS: Chicago (North), Chicago (Northwest), Evanston, Freeport, Mt. Prospect, Rockford, Sterling, Waukegan, Woodstock"
HO,X84,Evansville,,100 NW Second Street,Evansville,IN,47708,(855) 863-3559,8339852301,37.975188,-87.567486,,,"SSA, OHO",,,,5,Region 5,(877) 670-6913,"ILLINOIS: Carbondale, Effingham, Harrisburg, Mount Vernon, West Frankfort; INDIANA: Evansville, Vincennes and KENTUCKY: Henderson"
HO,X86,Flint,300 West Second Street,,Flint,MI,48502-2047,(877) 607-9526,8336940063,43.0137785,-83.6925916,,,"SSA, OHO",,,,5,Region 5,(877) 559-1917,"MICHIGAN: Bay City, Flint (Downtown), Flint (North), Saginaw"
HO,X53,Fort Wayne,6511 Brotherhood Way,,Fort Wayne,IN,46825,(866) 770-1735,8333020014,41.138788,-85.142128,,,"SSA, OHO",,,,5,Region 5,(877) 670-6916,"INDIANA: Auburn, Elkhart, Fort Wayne, Marion"
HO,Y28,Grand Rapids,Suite 200,"1925 Breton Road, SE",Grand Rapids,MI,49506,(866) 613-2860,8336190613,42.963242,-85.667862,,,"SSA, OHO",,,,5,Region 5,(877) 904-5481,"MICHIGAN: Grand Rapids, Holland, Kalamazoo, Muskegon"
HO,Y29,Indianapolis,"Market Square Center, Suite 400",151 North Delaware Street,Indianapolis,IN,46204-2510,(866) 931-4820,8336190756,39.769382,-86.153614,,,"SSA, OHO",,,,5,Region 5,(877) 670-6919,"INDIANA: Anderson, Bloomington, Columbus, Crawfordsville, Indianapolis (Downtown), Indianapolis (Northeast), Indianapolis (West), Kokomo, Muncie, Richmond, Terre Haute"
HO,X52,Lansing,Suite 200,4202 Collins Road,Lansing,MI,48910,(877) 691-6144,8335100098,42.6905248,-84.4987889,,,"SSA, OHO",,,,5,Region 5,(877) 904-5486,"MICHIGAN: Battle Creek, Jackson, Lansing, Owosso"
HO,T1Q,Livonia,3rd Floor,19575 Victor Parkway,Livonia,MI,48152,(866) 530-7806,8336760113,42.426821,-83.4202362,,,"SSA, OHO",,,,5,Region 5,(877) 847-1606,"MICHIGAN: Ann Arbor, Detroit (Northwest), Farmington Hills, Inkster, Livonia, Pontiac"
HO,R30,Madison,3rd Floor,2501 W. Beltline Highway,Madison,WI,53713,(877) 600-2854,8333300038,43.03425,-89.4217369,,,"SSA, OHO",,,,5,Region 5,(877) 486-2936,"WISCONSIN: Eau Claire, Janesville, La Crosse, Lancaster, Madison, Portage, Rhinelander, Rice Lake, Wausau, Wisconsin Rapids"
HO,X10,Milwaukee,Room 300W,310 West Wisconsin Avenue,Milwaukee,WI,53203,(866) 495-0039,8335590772,43.0392749,-87.9155404,,,"SSA, OHO",,,,5,Region 5,(877) 486-2940,"MICHIGAN: Escanaba, Houghton, Ironwood, Marquette, Sault St. Marie and WISCONSIN: Appleton, Fond du Lac, Green Bay, Greenfield, Kenosha, Manitowoc, Marinette, Milwaukee (Downtown), Milwaukee (Mitchell), Milwaukee (North), Milwaukee (West), Oshkosh, Racine, Sheboygan, Waukesha, West Bend"
HO,Y24,Minneapolis,Suite 300,250 Marquette Avenue,Minneapolis,MN,55401,(877) 512-3856,8336190551,44.980956,-93.267962,,,"SSA, OHO",,,,5,Region 5,(877) 904-5482,"MINNESOTA: Austin, Bloomington, Brooklyn Center, Duluth, Fairmont, Hibbing, Mankato, Minneapolis, Rochester, St. Cloud, St. Paul, Winona and WISCONSIN: Superior"
HO,T1N,Mount Pleasant,4035 Sweeney Road,,Mount Pleasant,MI,48858,(866) 873-6604,8339642265,43.5827109,-84.755242,,,"SSA, OHO",,,,5,Region 5,(877) 435-0325,"MICHIGAN: Alpena, Big Rapids, Cadillac, Ludington, Mount Pleasant, Petoskey, Traverse City, West Branch"
HO,X08,Oak Brook,Suite 201,2301 West 22nd Street,Oak Brook,IL,60523,(866) 964-7344,8337890411,41.845535,-87.974662,,,"SSA, OHO",,,,5,Region 5,(877) 670-6912,"ILLINOIS: Aurora, Bloomingdale, Elgin, Hillside, North Riverside, Woodridge"
HO,X54,Oak Park,"Crown Pointe Building, Suite 500",25900 Greenfield Road,Oak Park,MI,48237-1267,(877) 223-6060,8333020016,42.480105,-83.201952,,,"SSA, OHO",,,,5,Region 5,(877) 904-5525,"MICHIGAN: Chesterfield, Clawson, Detroit (7 Mile-Wyoming), Highland Park, Pontiac, Roseville, Sterling Heights"
HO,Y25,Orland Park,15401 South 94th Avenue,,Orland Park,IL,60462,(877) 490-9530,8336190564,41.609011,-87.849763,,,"SSA, OHO",,,,5,Region 5,(877) 670-6915,"ILLINOIS: Champaign, Chicago (SW Suburbs), Chicago Heights, Danville, Joliet, Kankakee, Peru"
HO,X11,Peoria,3328 W. Willow Knolls Drive,,Peoria,IL,61614,(866) 726-8293,8335590774,40.7761897,-89.6416914,,,"SSA, OHO",,,,5,Region 5,(877) 670-6918,"ILLINOIS: Bloomington, Decatur, Galesburg, Pekin, Peoria, Rock Island, Springfield and IOWA: Davenport"
HO,T1X,Toledo,13th Floor,One Seagate,Toledo,OH,43604,(866) 783-7304,8337020716,41.652356,-83.5302729,,,"SSA, OHO",,,,5,Region 5,(877) 847-1605,"MICHIGAN: Adrian, Monroe and OHIO: Bowling Green, Defiance, Findlay, Fremont, Lima, Sandusky, Toledo (Downtown), Toledo (West)"
HO,T1W,Valparaiso,1250 Eastport Centre Drive,,Valparaiso,IN,46383,(866) 873-1269,8337020714,41.4578791,-87.0227798,,,"SSA, OHO",,,,5,Region 5,(877) 435-0326,"INDIANA: Gary, Hammond, Lafayette, Merrillville, Michigan City, South Bend, Valparaiso and MICHIGAN: Benton Harbor"
RO,X27,Dallas,Suite 460,1301 Young Street,Dallas,TX,75202-5433,(214) 767-9401,8336310149,32.787311,-96.7966,32.165693,-99.733887,"SSA, OHO","Arkansas, Louisiana, New Mexico, Oklahoma, Texas",,,6,Region 6,,
HO,X12,Albuquerque,Suite 200,"555 Broadway, NE",Albuquerque,NM,87102,(866) 731-3998,8335610420,35.087904,-106.644693,,,"SSA, OHO",,,,6,Region 6,(877) 559-1913,"NEW MEXICO: Albuquerque, Carlsbad, Clovis, Farmington, Gallup, Hobbs, Las Cruces, Las Vegas, Rio Rancho, Roswell, Santa Fe"
NHC,T0H,Albuquerque,Suite 400,"201 3rd Street, NW",Albuquerque,NM,87102,(866) 964-1298,8337960381,35.087904,-106.644693,,,"SSA, OHO, NHC",,,,6,Region 6,(877) 311-3322,NHCs are not open to the public.
NHC-SO,T2V,Albuquerque,Suite 201,"555 Broadway Boulevard, NE",Albuquerque,NM,87102,(855) 861-7072,8334140617,35.088087,-106.644419,,,"SSA, OHO, NHC-SO",,,,6,Region 6,(877) 580-1211,NHCs are not open to the public.
HO,X14,Alexandria,3403 Government Street,,Alexandria,LA,71302,(877) 748-9764,8335610425,31.26666,-92.45004,,,"SSA, OHO",,,,6,Region 6,(877) 559-1912,"LOUISIANA: Alexandria, El Dorado, LaFayette, Leesville, Monroe, Natchitoches, New Iberia, Opelousas, Ruston"
CPC,Y67,Dallas,Suite 445,1301 Young Street,Dallas,TX,75202-5433,(214) 767-3344,8334140617,32.777596,-96.799486,,,"SSA, OHO, Central Processing Center",,,,6,Region 6,,
HO,Y33,Dallas (Downtown),"Harwood Center, Suite 2300",1999 Bryan Street,Dallas,TX,75201,(866) 563-3885,8336480165,32.787311,-96.7966,,,"SSA, OHO",,,,6,Region 6,(877) 904-5484,"TEXAS: Austin, Corsicana, Dallas (Fair Park), Dallas (Oak Cliff), Georgetown, San Marcos, South Austin, Temple, Waco"
HO,T18,Dallas (North),"Building 9, Suite 500",12790 Merit Drive,Dallas,TX,75251,(866) 331-7135,8336311014,32.922686,-96.770963,,,"SSA, OHO",,,,6,Region 6,(877) 904-5524,"OKLAHOMA: Durant; TEXAS: Dallas (North), Denton, Greenville, Longview, McKinney, Mid-Cities, Palestine, Paris, Pleasant Grove, Mount Pleasant, Sherman, Tyler, Waxahachie"
HO,X55,Fort Smith,"Central Mall, Suite 475",5111 Rogers Avenue,Fort Smith,AR,72903-2034,(877) 348-7549,8333020018,35.3650077,-94.3763675,,,"SSA, OHO",,,,6,Region 6,(877) 559-1921,"ARKANSAS: Fayetteville, Fort Smith, Harrison, Mountain Home, Poteau, Russellville"
HO,X81,Fort Worth,"Federal Office Building, Room 9A27",819 Taylor Street,Fort Worth,TX,76102,(866) 613-2744,8339852267,32.750377,-97.331743,,,"SSA, OHO",,,,6,Region 6,(877) 904-5540,"TEXAS: Abilene, Big Spring, Brownwood, Cleburne, Fort Worth, Fort Worth (South), Lubbock, Odessa, Plainview, San Angelo"
HO,R38,Houston (North),4015 Aldine Bender Road,,Houston,TX,77032,(877) 850-7829,8336311018,29.7520635,-95.3737261,,,"SSA, OHO",,,,6,Region 6,(877) 486-2938,"TEXAS: Beaumont, Brenham, Bryan, Conroe, Houston (Downtown), Houston (Northeast), Houston (Southeast), Lufkin, Port Arthur"
HO,Y34,Houston (West),9700 Richmond Avenue,Suite 200,Houston,TX,77042,(866) 779-5456,8336480167,29.74187,-95.55822,,,"SSA, OHO",,,,6,Region 6,(877) 847-1603,"TEXAS: Angleton, Galveston, Houston (Northwest), Houston (Southwest), Pasadena, Victoria"
HO,X13,Little Rock,2405 Federal Office Building,700 West Capitol Avenue,Little Rock,AR,72201,(866) 592-2549,8335610423,34.7451578,-92.2783191,,,"SSA, OHO",,,,6,Region 6,(877) 559-1933,"ARKANSAS: Batesville, Blytheville, Conway, Forrest City, Hot Springs, Jonesboro, Little Rock, Pine Bluff, Searcy, Sherwood"
HO,X87,McAlester,524 South 2nd Street,,McAlester,OK,74501,(877) 748-9767,8336940065,34.9261932,-95.7695248,,,"SSA, OHO",,,,6,Region 6,(877) 559-1920,OKLAHOMA: McAlester
HO,R62,Metairie,"Galleria Building, Suite 2000",1 Galleria Boulevard,Metairie,LA,70001,(877) 870-6383,8333200689,29.9947274,-90.1526647,,,"SSA, OHO",,,,6,Region 6,(877) 559-1919,"LOUISIANA: Baton Rouge, Baton Rouge (North), Bogalusa, Hammond, Kenner"
HO,Y32,New Orleans,Suite 800,1515 Poydras Street,New Orleans,LA,70112,(888) 297-2210,8336350632,29.952051,-90.078634,,,"SSA, OHO",,,,6,Region 6,(877) 559-1922,"LOUISIANA: DeRidder, Houma, Lake Charles, Morgan City, New Orleans (Downtown), New Orleans (West Bank), St. Tammany (Lacombe)"
HO,X56,Oklahoma City,Suite 300,301 NW 6th Street,Oklahoma City,OK,73102,(866) 701-8094,8333020021,35.474053,-97.5177926,,,"SSA, OHO",,,,6,Region 6,(877) 559-1929,"OKLAHOMA: Ada, Ardmore, Chickasha, Clinton, Enid, Lawton, Moore, Oklahoma City, Shawnee and TEXAS: Amarillo, Pampa, Wichita Falls"
HO,T1Y,Rio Grande Valley,Suite 200,2009 West Jefferson Avenue,Harlingen,TX,78550,(877) 452-6985,8337020719,26.1958826,-97.7173201,,,"SSA, OHO",,,,6,Region 6,(877) 435-0329,"TEXAS: Brownsville, Harlingen, McAllen, Mission"
HO,X88,San Antonio,10222 San Pedro Avenue,,San Antonio,TX,78216,(855) 829-8915,8336940067,29.484773,-98.56837,,,"SSA, OHO",,,,6,Region 6,(877) 864-5402,"TEXAS:  Alice, Corpus Christi, Eagle Pass, El Paso, El Paso (Downtown), Kerrville, Laredo, SAN (Central), SAN (Downtown), SAN (Northwest), SAN (South), Seguin"
HO,X57,Shreveport,"Louisiana Tower, Suite 700",401 Edwards Street,Shreveport,LA,71101-6129,(866) 690-1805,8333110095,32.5143829,-93.7495503,,,"SSA, OHO",,,,6,Region 6,(877) 864-5923,"ARKANSAS: Texarkana; LOUISIANA: Minden, Shreveport and TEXAS: Marshall"
HO,X89,Tulsa,"Eastgate Metroplex, Suite 500",14002 E. 21st Street,Tulsa,OK,74134,(888) 286-1124,8337480024,36.112951,-95.78266,,,"SSA, OHO",,,,6,Region 6,(877) 904-5480,"OKLAHOMA: Bartlesville, Miami, Muskogee, Okmulgee, Stillwater, Tulsa"
RO,X28,Kansas City,Suite 600,2300 Main Street,Kansas City,MO,64108,(888) 238-7975,8336311015,39.085925,-94.580025,40.001811,-96.70166,"SSA, OHO","Iowa, Nebraska, Kansas, Missouri",,,7,Region 7,,
HO,T2F,Columbia,3402 Buttonwood Drive,,Columbia,MO,65201,(877) 331-8351,8337210879,38.9083256,-92.3305451,,,"SSA, OHO",,,,7,Region 7,(866) 262-3203,"MISSOURI: Columbia, Jefferson City, Moberly, Sedalia"
HO,T19,Creve Coeur,Suite 100,1285 Fern Ridge Parkway,Creve Coeur,MO,63141,(877) 833-2445,8339532009,38.684136,-90.473356,,,"SSA, OHO",,,,7,Region 7,(877) 389-4213,"MISSOURI: Creve Coeur (West County), Fenton (Southwest), St. Louis (Central West End), St. Louis (North County), St. Louis (South Side), St. Peters, Union"
HO,X59,Kansas City,Suite 350,2301 McGee,Kansas City,MO,64108-2605,(888) 488-7742,8333110098,39.085925,-94.580025,,,"SSA, OHO",,,,7,Region 7,(877) 417-4669,"MISSOURI: Chillicothe, Gladstone, Independence, Kansas City (Euclid Street), Kansas City (Gateway), Maryville, St. Joseph"
HO,X15,Omaha,"Exec Center, Suite 500",1000 N 90th Street,Omaha,NE,68114,(888) 881-4633,8335610427,41.232798,-96.056815,,,"SSA, OHO",,,,7,Region 7,(877) 389-4218,"IOWA: Carroll, Council Bluffs, Creston, Sioux City and NEBRASKA: Grand Island, Lincoln, Norfolk, North Platte, Omaha, Scottsbluff"
HO,X90,Springfield,Suite C,2143 East Primrose Avenue,Springfield,MO,65804,(888) 472-2404,8337480025,37.1368172,-93.2494813,,,"SSA, OHO",,,,7,Region 7,(877) 389-4215,"MISSOURI: Joplin, Lebanon, Nevada, Springfield, West Plains"
HO,X58,St. Louis,Robert A. Young Federal Building,"1222 Spruce Street, Room 6.106",St. Louis,MO,63103-9923,(866) 404-1859,8333110096,38.627279,-90.188878,,,"SSA, OHO",,,,7,Region 7,(877) 389-4216,"ILLINOIS: Alton, Belleville, East St. Louis, Litchfield, Quincy and MISSOURI: Cape Girardeau, Hannibal, Kennett, Kirksville, Park Hills, Poplar Bluff, Rolla, Sikeston, St. Louis (Downtown)"
NCAC,T1V,St. Louis,"Building 110, Suite 1313A",4300 Goodfellow Boulevard,St. Louis,MO,63120,(877) 319-6861,8337750569,38.698163,-90.267888,,,"SSA, OHO, NCAC",,,,7,Region 7,(877) 871-1880,NCACs are not open to the public.
NHC,T1U,St. Louis,"Building 110, 2nd Floor",4300 Goodfellow Boulevard,St. Louis,MO,63120,(877) 409-4579,8336760151,38.6912379,-90.2658337,,,"SSA, OHO, NHC",,,,7,Region 7,(877) 847-1604,NHCs are not open to the public.
TC,X0H,St. Louis,"Federal Center, Building 110, 2nd Floor",4300 Goodfellow Boulevard,St. Louis,MO,63120,(877) 409-4579 x20285,,38.698163,-90.267888,,,St. Louis Training Center,,,,7,Region 7,,
HO,T1M,Topeka,Suite A,3712 SW Burlingame,Topeka,KS,66609,(888) 436-2615,8339642263,38.9994989,-95.7058007,,,"SSA, OHO",,,,7,Region 7,(877) 847-1602,"KANSAS: Emporia, Johnson County, Kansas City Kansas (KcK), Lawrence, Manhattan, Topeka"
HO,X16,West Des Moines,"Regency West, Building 1, Suite 300",1501 50th Street,West Des Moines,IA,50266,(877) 628-6577,8335860158,41.5937376,-93.7696319,,,"SSA, OHO",,,,7,Region 7,(877) 417-4609,"IOWA: Ames, Burlington, Carroll, Cedar Rapids, Coralville, Creston, Decorah, Des Moines, Dubuque, Fort Dodge, Iowa City, Marshalltown, Mason City, Ottumwa, Waterloo"
HO,X91,Wichita,3207 N. Cypress Street,,Wichita,KS,67226,(866) 964-3421,8337480027,37.7414599,-97.234602,,,"SSA, OHO",,,,7,Region 7,(877) 389-4212,"KANSAS: Dodge City, Hays, Hutchinson, Independence, Salina, Wichita"
RO,X29,Denver,Suite 600,1244 Speer Boulevard,Denver,CO,80204-3584,(888) 397-9803,8336310153,39.7358751,-104.9949536,43.794361,-108.039551,"SSA, OHO","Colorado, Montana, North Dakota, South Dakota, Utah, Wyoming",,,8,Region 8,,
HO,X60,Billings,Suite 500,2900 Fourth Avenue North,Billings,MT,59101-1266,(877) 545-5512,8333110102,45.7840256,-108.5096598,,,"SSA, OHO",,,,8,Region 8,(877) 389-4223,"IDAHO: Boise, Caldwell, Idaho Falls, Pocatello, Twin Falls; MONTANA: Billings, Bozeman, Butte, Glasgow, Great Falls, Havre, Helena, Kalispell, Missoula; OREGON: Ontario; SOUTH DAKOTA: Rapid City and WYOMING: Cody, Sheridan"
SO,T2A,Boise,Suite 275,720 East Park Boulevard,Boise,ID,83712-9902,(866) 826-3892,8337210875,43.6042489,-116.1910354,,,"SSA, OHO (Satellite Office)",,,,8,Region 8,(877) 435-0332,"IDAHO: Boise, Caldwell, Idaho Falls, Pocatello, Twin Falls and OREGON: Ontario"
HO,T75,Colorado Springs,"Plaza of the Rockies, North Tower","111 S. Tejon Street, Suite 401",Colorado Springs,CO,80903,(888) 844-8269,8337790458,38.8313681,-104.8235653,,,"SSA, OHO",,,,8,Region 8,(877) 389-4219,"COLORADO: Alamosa, Canon City, Colorado Springs, Durango, La Junta, Pueblo, Trinidad"
HO,X17,Denver,Suite 752,1244 Speer Boulevard,Denver,CO,80204-3584,(888) 383-8889,8335860160,39.7358751,-104.9949536,,,"SSA, OHO",,,,8,Region 8,(877) 389-4221,"COLORADO: Aurora, Denver, Fort Collins, Glenwood Springs, Grand Junction, Greeley, Lakewood, Littleton, Louisville, Montrose"
HO,T20,Fargo,Suite 150,655 First Avenue North,Fargo,ND,58102-4971,(877) 319-3073,8337020723,46.8770284,-96.7906712,,,"SSA, OHO",,,,8,Region 8,(877) 389-4225,"MINNESOTA: Alexandria, Bemidji, Brainerd, Fergus Falls, Marshall and NORTH DAKOTA: Bismarck, Devils Lake, Fargo, Grand Forks, Jamestown, Minot, Williston"
HO,X92,Salt Lake City,Suite 3102,125 South State Street,Salt Lake City,UT,84138,(877) 628-6579,8337480029,40.7667494,-111.8878543,,,"SSA, OHO",,,,8,Region 8,(877) 486-2941,"UTAH: Ogden, Provo, Salt Lake City, South Jordan and WYOMING: Casper, Cheyenne, Riverton, Rock Springs"
SO,R33,Sioux Falls,Suite 200,1720 South Southeastern Avenue,Sioux Falls,SD,57103,(877) 378-9080,8333300045,43.5306322,-96.6948107,,,"SSA, OHO (Satellite Office)",,,,8,Region 8,(877) 389-4225,"IOWA: Spencer, Storm Lake and SOUTH DAKOTA: Aberdeen, Huron, Sioux Falls, Watertown, Yankton"
RO,X22,San Francisco,5th Floor,555 Battery Street,San Francisco,CA,94111,(866) 964-7584,8336130454,37.7899513,-122.3942138,37.220997,-117.399902,"SSA, OHO","Arizona, California, Hawaii, Nevada",,,9,Region 9,,
HO,X18,Fresno,Suite 300,2440 Tulare Street,Fresno,CA,93721,(866) 596-7568,8335860162,36.737079,-119.785065,,,"SSA, OHO",,,,9,Region 9,(877) 394-4582,"CALIFORNIA: Fresno, Hanford, Madera, Merced, Porterville, Southeast Fresno, Visalia, West Fresno"
HO,Y63,Honolulu,Prince Kuhio Federal Building,"300 Ala Moana Boulevard, Room 3-303",Honolulu,HI,96850,(855) 601-2479,8335110337,21.3034594,-157.8613763,,,"SSA, OHO",,,,9,Region 9,(877) 394-9246,"AMERICAN SAMOA: Pago Pago, Saipan; GUAM: Dededo and HAWAII: Hilo, Honolulu, Kapolei, Lihue (Kauai), Wailuku (Maui)"
HO,X71,Las Vegas,Suite 4452,"333 Las Vegas Boulevard, South",Las Vegas,NV,89101,(888) 397-5623,8339032285,36.1672394,-115.1435318,,,"SSA, OHO",,,,9,Region 9,(877) 730-3360,"NEVADA: Henderson, Las Vegas, North Las Vegas and UTAH: Cedar City Resident Station, St. George"
HO,X62,Long Beach,"Federal Building, Suite 5300",501 West Ocean Boulevard,Long Beach,CA,90802,(855) 532-0889,8333650277,33.7680709,-118.19875,,,"SSA, OHO",,,,9,Region 9,(877) 394-4587,"CALIFORNIA: Lakewood, Long Beach, San Pedro, Torrance"
HO,T29,Los Angeles (Downtown),"City National Bank Building, Suite 1200",606 South Olive Street,Los Angeles,CA,90014,(888) 488-0517,8337190416,34.047631,-118.254115,,,"SSA, OHO",,,,9,Region 9,(877) 394-4583,"CALIFORNIA: Crenshaw, Los Angeles (Downtown), University Village, Watts, Wilshire Center"
HO,T30,Los Angeles (West),Suite 400,12121 Wilshire Boulevard,Los Angeles,CA,90025,(866) 748-2089,8334140623,34.0680038,-118.4253509,,,"SSA, OHO",,,,9,Region 9,(877) 394-4585,"CALIFORNIA: Chatsworth, Culver City, Hollywood, Inglewood, Lancaster, Los Angeles Westwood, Panorama City, Santa Clarita"
HO,X0W,Moreno Valley,3rd Floor,22690 Cactus Avenue,Moreno Valley,CA,92553,(866) 737-4503,8335590770,33.910842,-117.267385,,,"SSA, OHO",,,,9,Region 9,(877) 312-9771,"CALIFORNIA: Blythe, Corona, Hemet, Indio, Moreno Valley, Morongo Basin, Palm Springs, Riverside"
HO,Y35,Norwalk,Suite 250,12440 E. Imperial Highway,Norwalk,CA,90650,(877) 870-6385,8336480169,33.916147,-118.065584,,,"SSA, OHO",,,,9,Region 9,(877) 394-4581,"CALIFORNIA: Boyle Heights, Compton, Downey, Huntington Park, Montebello, Norwalk, Whittier"
HO,X97,Oakland,"Oakland Federal Building, Suite 200N",1301 Clay Street,Oakland,CA,94612,(866) 366-4916,8337690239,37.8045961,-122.2740312,,,"SSA, OHO",,,,9,Region 9,(877) 394-4588,"CALIFORNIA: Antioch, Berkeley, East Oakland, Fremont, Hayward/Livermore (merged), Oakland, Richmond, San Leandro, Walnut Creek"
HO,X98,Orange,"Centrum North, Suite 600",1120 West La Veta Avenue,Orange,CA,92868,(866) 593-1447,8337690241,33.7802359,-117.8653191,,,"SSA, OHO",,,,9,Region 9,(877) 822-0169,"CALIFORNIA: Anaheim, Brea, Fountain Valley, Garden Grove, Mission Viejo, Newport Beach, Ontario, Pomona Valley, Santa Ana"
HO,X61,Pasadena,"Pasadena Towers 1, Suite 500",800 E. Colorado Boulevard,Pasadena,CA,91101,(866) 354-0220,8333110104,34.1458706,-118.133873,,,"SSA, OHO",,,,9,Region 9,(877) 822-5144,"CALIFORNIA: Alhambra, Arcadia, Burbank, El Monte, Glendale, Glendora, Industry Hills, Old Burbank, Pasadena, San Fernando, West Covina"
HO,X65,Phoenix,"Siete Square, Suite 200",3737 North 7th Street,Phoenix,AZ,85014,(888) 748-1991,8333650283,33.49137,-112.064007,,,"SSA, OHO",,,,9,Region 9,(877) 394-4579,"ARIZONA: Apache Junction, Chinle, Flagstaff, Mesa, Phoenix (Downtown), Tuba City"
HO,T1R,Phoenix (North),Suite 430,18444 North 25th Avenue,Phoenix,AZ,85023,(877) 784-3690,8336760149,33.653301,-112.113038,,,"SSA, OHO",,,,9,Region 9,(877) 847-1601,"ARIZONA: Colorado River Basin, Glendale, Phoenix (North), Prescott"
HO,T2G,Reno,Suite 4000,300 Booth Street,Reno,NV,89509,(877) 897-0607,8337210881,39.5177819,-119.825747,,,"SSA, OHO",,,,9,Region 9,(877) 871-1885,"NEVADA: Elko, Reno"
NCAC,,Richmond,Frank Hagel Federal Building,"1221 Nevin Avenue, 6th Floor",Richmond,CA,94801,(855) 295-8304,8334140621,37.937585,-122.357152,,,"SSA, OHO, NCAC",,,,9,Region 9,,NCACs are not open to the public.
HO,X63,Sacramento,Suite 250,1610 Arden Way,Sacramento,CA,95815,(866) 931-2544,8333650279,38.5999001,-121.4279546,,,"SSA, OHO",,,,9,Region 9,(877) 394-9226,"CALIFORNIA: Auburn, Chico, Oroville, Placerville, Redding, Roseville, Sacramento, Sacramento (North), Sacramento (South), Sacramento (West), Susanville, Yuba City"
HO,T25,San Bernardino,Suite 200,605 North Arrowhead Avenue,San Bernardino,CA,92401,(866) 331-7127,8337190408,34.1107464,-117.288953,,,"SSA, OHO",,,,9,Region 9,(877) 394-9227,"CALIFORNIA:  Barstow, Fontana, Redlands, San Bernardino, Victorville"
HO,X19,San Diego,Suite 900,525 B Street,San Diego,CA,92101,(866) 331-2294,8335860164,32.71752,-117.159695,,,"SSA, OHO",,,,9,Region 9,(877) 394-9228,"CALIFORNIA: Chula Vista, El Cajon, El Centro, Kearny Mesa, La Mesa,  National City, Pacific Beach, Oceanside, San Diego, San Marcos, Yuma"
